condition,replicate,generation,shannon_diversity,richness,dominant_fraction,top3_fraction,vacancies
KtW_ON,0,109,2.148752327746657,10,0.15448979591836734,0.41836734693877553,698
KtW_ON,0,110,2.144838045561016,10,0.15775510204081633,0.4240816326530612,679
KtW_ON,0,111,2.1401046851641246,10,0.1573469387755102,0.4246938775510204,686
KtW_ON,0,112,2.1373613829908473,10,0.15551020408163266,0.4259183673469388,681
KtW_ON,0,113,2.139546949270673,10,0.15448979591836734,0.4253061224489796,676
KtW_ON,0,114,2.1368222814072806,10,0.15836734693877552,0.42775510204081635,681
KtW_ON,0,115,2.135724266587945,10,0.16081632653061226,0.4306122448979592,672
KtW_ON,0,116,2.1389890544767987,10,0.15877551020408162,0.43081632653061225,661
KtW_ON,0,117,2.13247429149948,10,0.16163265306122448,0.4330612244897959,655
KtW_ON,0,118,2.134338826064438,10,0.1610204081632653,0.43081632653061225,666
KtW_ON,0,119,2.132496786892642,10,0.1573469387755102,0.42959183673469387,667
KtW_ON,0,120,2.1313204193215234,10,0.15857142857142856,0.43142857142857144,665
KtW_ON,0,121,2.126589701326975,10,0.1606122448979592,0.4359183673469388,654
KtW_ON,0,122,2.1235944705558363,10,0.15877551020408162,0.4328571428571429,664
KtW_ON,0,123,2.123564899208495,10,0.15571428571428572,0.4346938775510204,659
KtW_ON,0,124,2.1227889872293737,10,0.156734693877551,0.43795918367346937,634
KtW_ON,0,125,2.1221634769556603,10,0.15816326530612246,0.44,648
KtW_ON,0,126,2.1208021871923974,10,0.15755102040816327,0.4353061224489796,653
KtW_ON,0,127,2.118895621272373,10,0.15653061224489795,0.433469387755102,656
KtW_ON,0,128,2.114759576849587,10,0.15918367346938775,0.43489795918367347,663
KtW_ON,0,129,2.1133345209030376,10,0.16142857142857142,0.43551020408163266,666
KtW_ON,0,130,2.1103361324537575,10,0.1626530612244898,0.4412244897959184,650
KtW_ON,0,131,2.113002740114394,10,0.16326530612244897,0.44020408163265307,642
KtW_ON,0,132,2.107357523747193,10,0.16306122448979593,0.44224489795918365,645
KtW_ON,0,133,2.106636032553396,10,0.16163265306122448,0.44081632653061226,673
KtW_ON,0,134,2.103104702278917,10,0.16428571428571428,0.44612244897959186,641
KtW_ON,0,135,2.1049526555331335,10,0.16224489795918368,0.4448979591836735,640
KtW_ON,0,136,2.103752570367322,10,0.16285714285714287,0.44387755102040816,644
KtW_ON,0,137,2.1038670013852663,10,0.15979591836734694,0.44571428571428573,639
KtW_ON,0,138,2.103734275372763,10,0.16081632653061226,0.44693877551020406,629
KtW_ON,0,139,2.1019080173835727,10,0.16020408163265307,0.4473469387755102,634
KtW_ON,0,140,2.098021212980883,10,0.1620408163265306,0.45183673469387753,616
KtW_ON,0,141,2.092727997536997,10,0.16183673469387755,0.4520408163265306,623
KtW_ON,0,142,2.088871947192753,10,0.16387755102040816,0.45653061224489794,609
KtW_ON,0,143,2.089130413896103,10,0.16489795918367348,0.45571428571428574,597
KtW_ON,0,144,2.0840293816288153,9,0.16591836734693877,0.45714285714285713,622
KtW_ON,0,145,2.0813225949315224,9,0.16346938775510203,0.4553061224489796,639
KtW_ON,0,146,2.0816133256814404,9,0.1657142857142857,0.4583673469387755,614
KtW_ON,0,147,2.078638637462452,9,0.16918367346938776,0.46224489795918366,599
KtW_ON,0,148,2.0789122849029344,9,0.16918367346938776,0.4610204081632653,612
KtW_ON,0,149,2.0775988863362924,9,0.16918367346938776,0.46530612244897956,581
KtW_ON,0,150,2.077875483864902,9,0.16918367346938776,0.4638775510204082,604
KtW_ON,0,151,2.0780160359081608,9,0.1683673469387755,0.4606122448979592,608
KtW_ON,0,152,2.0755848285187017,9,0.1646938775510204,0.4606122448979592,593
KtW_ON,0,153,2.0730462623218555,9,0.16346938775510203,0.45877551020408164,615
KtW_ON,0,154,2.0726641299795894,9,0.16408163265306122,0.45877551020408164,614
KtW_ON,0,155,2.0685386637804712,9,0.16795918367346938,0.46530612244897956,584
KtW_ON,0,156,2.0658661549684094,9,0.1673469387755102,0.4642857142857143,586
KtW_ON,0,157,2.066708223286845,9,0.16387755102040816,0.46122448979591835,603
KtW_ON,0,158,2.062895569756885,9,0.1646938775510204,0.4630612244897959,605
KtW_ON,0,159,2.0625853528068157,9,0.16510204081632654,0.46551020408163263,590
KtW_ON,0,160,2.0643252455625323,9,0.16326530612244897,0.4610204081632653,599
